,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific
NR2GAKW3,A context-aware method for building occupancy prediction,Energy and Buildings,,"Adamopoulou, Anna A.; Tryferidis, Athanasios M.; Tzovaras, Dimitrios K.",journalArticle,2015.0,BuildingEnergyAnalysis,Operations,RuleExtraction,MarkovModel,OccupancyDetection
NT7FQUBF,Assessment of potential energy saving using cluster analysis: A case study of lighting systems in buildings,Energy and Buildings,,"Petcharat, Siriwarin; Chungpaibulpatana, Supachart; Rakkwamsuk, Pattana",journalArticle,2012.0,BuildingEnergyAnalysis,PortfolioAnalysis,Clustering,MaximumLikelihood,Targeting
NWEZKIDC,Application of clustering for the development of retrofit strategies for large building stocks,Advanced Engineering Informatics,,"Geyer, Philipp; Schlüter, Arno; Cisar, Sasha",journalArticle,2016.0,BuildingEnergyAnalysis,PortfolioAnalysis,Clustering,MultipleTechniques,Targeting
NWN7WJXG,Establishing the foundation for energy management on university campuses via data analytics,Proceedings of the IEEE SoutheastCon 2015,IEEE SoutheastCon,"Diong, B.; Zheng, G.; Ginn, M.",conferencePaper,2015.0,ElectricalEngineering,PortfolioAnalysis,VisualAnalytics,EnergyInformationSystem,Characterization
P34F6EPP,"Sensor-fault detection, diagnosis and estimation for centrifugal chiller systems using principal-component analysis method",Applied Energy,,"Wang, Shengwei; Cui, J",journalArticle,2005.0,BuildingEnergyAnalysis,AnomalyDetection,NoveltyDetection,PCA,Component
P3BWEEBV,Towards an understanding of campus-scale power consumption,Proceedings of the Third ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2011),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),"Bellala, Gowtham; Marwah, Manish; Arlitt, Martin; Lyon, Geoff; Bash, Cullen E",conferencePaper,2011.0,ComputerScience,PortfolioAnalysis,NoveltyDetection,MarkovModel,Targeting
PAGVMVIQ,Application of Data Mining techniques for energy modeling of HVAC sub-systems,Proceedings of eSim 2014 - IBPSA-Canada Conference,IBPSA-Canada Conference (eSim),"Le Cam, M; Zmeureanu, R; Daoud, A",conferencePaper,2014.0,BuildingSimulation,AnomalyDetection,NoveltyDetection,PCA,Subsystem
PKUJ8VGA,Analysis of Georeferenced Building Data for the Identification and Evaluation of Thermal Microgrids,Proceedings of the IEEE,,"Schlueter, A.; Geyer, P.; Cisar, S.",journalArticle,2016.0,BuildingEnergyAnalysis,PortfolioAnalysis,Clustering,FuzzyClustering,Targeting
PUSSI54V,Anomaly detection for visual analytics of power consumption data,Computers & Graphics,,"Janetzko, Halldór; Stoffel, Florian; Mittelstädt, Sebastian; Keim, Daniel A",journalArticle,2013.0,ComputerScience,AnomalyDetection,VisualAnalytics,PatternAnalysis,WholeBuilding
PXWSTVW6,Clustering-Based Performance Optimization of the Boiler Turbine System,IEEE Transactions on Energy Conversion,,"Kusiak, Andrew; Song, Zhe",journalArticle,2008.0,ElectricalEngineering,Operations,Clustering,MultipleTechniques,Controls
Q8FE7VGP,Temporal Knowledge Discovery in Big BAS Data for Building Energy Management,Energy and Buildings,,"Fan, Cheng; Xiao, Fu; Madsen, Henrik; Wang, Dan",journalArticle,2015.0,BuildingEnergyAnalysis,Operations,RuleExtraction,DataAssociationRules,EnergyManagment
QB7SH8HI,Fault diagnosis for sensors in air handling unit based on neural network pre-processed by wavelet and fractal,Energy and Buildings,,"Zhu, Yonghua; Jin, Xinqiao; Du, Zhimin",journalArticle,2012.0,BuildingEnergyAnalysis,AnomalyDetection,NoveltyDetection,Wavelets,Component
QCNG8DEG,Kernel-based non-parametric clustering for load profiling of big smart meter data,Proceedings of the 2015 IEEE Wireless Communications and Networking Conference (WCNC),IEEE Wireless Communications and Networking Conference (WCNC),"Pan, Erte; Li, Husheng; Song, Lingyang; Han, Zhu",conferencePaper,2015.0,ElectricalEngineering,SmartMeter,Clustering,PCA,LoadProfiling
QXXWM3CK,Discovering unexpected information using a building energy visualization tool,Proceedings of the IS&T/SPIE 2013 Conference on Electronic Imaging,IS&T/SPIE Conference on Electronic Imaging,"Lange, B; Rodriguez, N; Puech, W; Vasques, X",conferencePaper,2013.0,ElectricalEngineering,Operations,VisualAnalytics,PatternAnalysis,EnergyManagment
RGIBVU5S,Principal component analysis of electricity use in office buildings,Energy and Buildings,,"Lam, Joseph C; Wan, Kevin K W; Cheung, K L; Yang, Liu",journalArticle,2008.0,BuildingEnergyAnalysis,PortfolioAnalysis,NoveltyDetection,PCA,Characterization
RUZXQMWP,Anomaly detection of building systems using energy demand frequency domain analysis,"Power and Energy Society General Meeting, 2012 IEEE",IEEE Power and Energy Society General Meeting,"Wrinch, Michael; El-Fouly, Tarek HM; Wong, Steven",conferencePaper,2012.0,ElectricalEngineering,AnomalyDetection,NoveltyDetection,FourierTransform,WholeBuilding
S6VWECDN,Extracting knowledge from building-related data — A data mining framework,Building Simulation,,"Yu, Zhun Jerry; Fung, Benjamin C M; Haghighat, Fariborz",journalArticle,2013.0,BuildingSimulation,Operations,RuleExtraction,DataAssociationRules,EnergyManagment
SKGSZE2V,Targeted Efficiency: Using Customer Meter Data to Improve Efficiency Program Outcomes,,,"Borgeson, Sam",thesis,2013.0,BuildingEnergyAnalysis,SmartMeter,Clustering,MultipleTechniques,CustomerClassification
SPCJ6SAP,Extraction of supervisory building control rules from model predictive control of windows in a mixed mode building,Journal of Building Performance Simulation,,"May-Ostendorp, Peter T; Henze, Gregor P; Rajagopalan, Balaji; Corbin, Charles D",journalArticle,2013.0,BuildingSimulation,Operations,RuleExtraction,DataAssociationRules,Controls
T6APZH9M,Fault detection analysis using data mining techniques for a cluster of smart office buildings,Expert Systems with Applications,,"Capozzoli, Alfonso; Lauro, Fiorella; Khan, Imran",journalArticle,2015.0,BuildingEnergyAnalysis,AnomalyDetection,NoveltyDetection,MultipleTechniques,WholeBuilding
T72JZQ7X,Evaluation of the performance of clustering algorithms for a high voltage industrial consumer,Engineering Applications of Artificial Intelligence,,"Panapakidis, Ioannis; Alexiadis, Minas; Papagiannis, Grigoris",journalArticle,2015.0,ElectricalEngineering,SmartMeter,Clustering,MultipleTechniques,LoadProfiling
U7NKT5SK,Towards Automatic Spatial Verification of Sensor Placement in Buildings,Proceedings of the 5th ACM Workshop on Embedded Systems For Energy-Efficient Buildings (BuildSys 2013),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),"Hong, Dezhi; Ortiz, Jorge; Whitehouse, Kamin; Culler, David",conferencePaper,2013.0,ComputerScience,Operations,Clustering,EmpiricalModeDecomposition,Controls
