,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific,title,ID
12,A novelty detection approach to identify the occurrence of leakage in smart gas and water grids,Proceedings of the 2015 International Joint Conference on Neural Networks (IJCNN),International Joint Conference on Neural Networks (IJCNN),"Fagiani, Marco; Squartini, Stefano; Severini, Marco; Piazza, Francesco",conferencePaper,2015,Computer Science,SmartMeter,Novelty Detection,Markov Models,Customer Class.,A novelty detection approach to identify the occurrence of leakage in smart gas and water grids,fagiani_novelty_2015
13,A system-level fault detection and diagnosis strategy for HVAC systems involving sensor faults,Energy and Buildings,,"Wang, Shengwei; Zhou, Qiang; Xiao, Fu",journalArticle,2010,Building Energy Analysis,AnomalyDetection,Novelty Detection,Principal Component Analysis (PCA),Subsystem,A system-level fault detection and diagnosis strategy for HVAC systems involving sensor faults,wang_system-level_2010
14,An Electric Energy Consumer Characterization Framework Based on Data Mining Techniques,IEEE Transactions on Power Systems,,"Figueiredo, V; Rodrigues, F; Vale, Z; Gouveia, J B",journalArticle,2005,Electrical Engineering,SmartMeter,Clustering,K-Means,Customer Class.,An Electric Energy Consumer Characterization Framework Based on Data Mining Techniques,figueiredo_electric_2005
15,An Electric Energy Consumer Characterization Framework Based on Data Mining Techniques,IEEE Transactions on Power Systems,,"Figueiredo, V; Rodrigues, F; Vale, Z; Gouveia, J B",journalArticle,2005,Electrical Engineering,SmartMeter,Clustering,K-Means,Classification,An Electric Energy Consumer Characterization Framework Based on Data Mining Techniques,figueiredo_electric_2005
16,Analysis of Georeferenced Building Data for the Identification and Evaluation of Thermal Microgrids,Proceedings of the IEEE,,"Schlueter, A.; Geyer, P.; Cisar, S.",journalArticle,2016,Building Energy Analysis,PortfolioAnalysis,Clustering,Fuzzy Clustering,Targeting,Analysis of Georeferenced Building Data for the Identification and Evaluation of Thermal Microgrids,schlueter_analysis_2016
17,Analysis of Similarity Measures in Times Series Clustering for the Discovery of Building Energy Patterns,Energies,,"Iglesias, Félix; Kastner, Wolfgang",journalArticle,2013,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Load Profiling,Analysis of Similarity Measures in Times Series Clustering for the Discovery of Building Energy Patterns,iglesias_analysis_2013
18,Analysis of electricity bills using visual continuous maps,Neural Computing and Applications,,"Morán, A; Fuertes, J J; Domínguez, M; Prada, M A; Alonso, S; Barrientos, P",journalArticle,2013,Computer Science,PortfolioAnalysis,Visual Analytics,Pattern Analysis,Characterization,Analysis of electricity bills using visual continuous maps,moran_analysis_2013
19,Anomaly detection for visual analytics of power consumption data,Computers & Graphics,,"Janetzko, Halldór; Stoffel, Florian; Mittelstädt, Sebastian; Keim, Daniel A",journalArticle,2013,Computer Science,AnomalyDetection,Visual Analytics,Pattern Analysis,Whole Building,Anomaly detection for visual analytics of power consumption data,janetzko_anomaly_2013
20,Anomaly detection of building systems using energy demand frequency domain analysis,"Power and Energy Society General Meeting, 2012 IEEE",IEEE Power and Energy Society General Meeting,"Wrinch, Michael; El-Fouly, Tarek HM; Wong, Steven",conferencePaper,2012,Electrical Engineering,AnomalyDetection,Novelty Detection,Fourier Transform,Whole Building,Anomaly detection of building systems using energy demand frequency domain analysis,wrinch_anomaly_2012
21,Application of Data Mining techniques for energy modeling of HVAC sub-systems,Proceedings of eSim 2014 - IBPSA-Canada Conference,IBPSA-Canada Conference (eSim),"Le Cam, M; Zmeureanu, R; Daoud, A",conferencePaper,2014,Building Simulation,AnomalyDetection,Novelty Detection,Principal Component Analysis (PCA),Subsystem,Application of Data Mining techniques for energy modeling of HVAC sub-systems,le_cam_application_2014
