,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific,title,ID
66,Kernel-based non-parametric clustering for load profiling of big smart meter data,Proceedings of the 2015 IEEE Wireless Communications and Networking Conference (WCNC),IEEE Wireless Communications and Networking Conference (WCNC),"Pan, Erte; Li, Husheng; Song, Lingyang; Han, Zhu",conferencePaper,2015,Electrical Engineering,SmartMeter,Clustering,Principal Component Analysis (PCA),Load Profiling,Kernel-based non-parametric clustering for load profiling of big smart meter data,pan_kernel-based_2015
67,Learning decision rules for energy efficient building control,Journal of Process Control,,"Domahidi, Alexander; Ullmann, Fabian; Morari, Manfred; Jones, Colin N.",journalArticle,2014,Electrical Engineering,Operations,Rule Extraction,Support Vector Machines (SVM),Controls,Learning decision rules for energy efficient building control,domahidi_learning_2014
68,Low-voltage electricity customer profiling based on load data clustering,Proceedings of the 2009 International Database Engineering & Applications Symposium (IDEAS 2009),International Database Engineering & Applications Symposium (IDEAS),"Gullo, Francesco; Ponti, Giovanni; Tagarelli, Andrea; Ruffolo, Massimiliano; Labate, Diego",conferencePaper,2009,Computer Science,SmartMeter,Clustering,Multiple Techniques,Load Profiling,Low-voltage electricity customer profiling based on load data clustering,gullo_low-voltage_2009
69,Mining Anomalous Electricity Consumption Using Ensemble Empirical Mode Decomposition,"Acoustics, Speech and Signal Processing (ICASSP), 2013 IEEE International Conference on","IEEE Int. Conference on Acoustics, Speech and Signal Processing (ICASSP)","Fontugne, Romain; Tremblay, Nicolas; Borgnat, Pierre; Flandrin, Patrick; Esaki, Hiroshi",conferencePaper,2013,Computer Science,AnomalyDetection,Novelty Detection,Empirical Mode Decomposition (EMC),Component,Mining Anomalous Electricity Consumption Using Ensemble Empirical Mode Decomposition,fontugne_mining_2013
70,Mining Building Energy Management System Data Using Fuzzy Anomaly Detection and Linguistic Descriptions,IEEE Transactions on Industrial Informatics,,"Wijayasekara, D.; Linda, O.; Manic, M.; Rieger, C.",journalArticle,2014,Computer Science,AnomalyDetection,Novelty Detection,Multiple Techniques,Subsystem,Mining Building Energy Management System Data Using Fuzzy Anomaly Detection and Linguistic Descriptions,wijayasekara_mining_2014
71,Model-predictive control of mixed-mode buildings with rule extraction,Building and Environment,,"May-Ostendorp, Peter; Henze, Gregor P; Corbin, Charles D; Rajagopalan, Balaji; Felsmann, Clemens",journalArticle,2011,Building Energy Analysis,Operations,Rule Extraction,Data Assocation Rules (DAR),Controls,Model-predictive control of mixed-mode buildings with rule extraction,may-ostendorp_model-predictive_2011
72,Occupancy schedules learning process through a data mining framework,Energy and Buildings,,"D’Oca, Simona; Hong, Tianzhen",journalArticle,2015,Building Energy Analysis,Operations,Rule Extraction,Multiple Techniques,Occupancy Detection,Occupancy schedules learning process through a data mining framework,doca_occupancy_2015
73,On the Application of Clustering Techniques for Office Buildings' Energy and Thermal Comfort Classification,IEEE Transactions on Smart Grid,,"Nikolaou, Triantafyllia G; Kolokotsa, Dionysia S; Stavrakakis, George S; Skias, Ioannis D",journalArticle,2012,Electrical Engineering,PortfolioAnalysis,Clustering,Multiple Techniques,,On the Application of Clustering Techniques for Office Buildings' Energy and Thermal Comfort Classification,nikolaou_application_2012
74,On the need for time series data mining benchmarks: A survey and empirical demonstration,Data Mining and Knowledge Discovery,,"Keogh, E; Kasetty, S",journalArticle,2003,,,,,,On the need for time series data mining benchmarks: A survey and empirical demonstration,keogh_need_2003
75,Pattern recognition algorithm for determining days of the week with similar energy consumption profiles,Energy and Buildings,,"Seem, John E",journalArticle,2005,Building Energy Analysis,PortfolioAnalysis,Clustering,Hierarchical Clustering,Characterization,Pattern recognition algorithm for determining days of the week with similar energy consumption profiles,seem_pattern_2005
76,PowerSAX: Fast motif matching in distributed power meter data using symbolic representations,Proceedings of 9th IEEE International Workshop on Practical Issues in Building Sensor Network Applications (SenseApp 2014),IEEE Workshop on Practical Issues in Building Sensor Network Applications (SensApp),"Reinhardt, Andreas; Koessler, Sebastian",conferencePaper,2014,Electrical Engineering,SmartMeter,Motif Detection,Symbolic Aggregate Approximation (SAX),Disaggregation,PowerSAX: Fast motif matching in distributed power meter data using symbolic representations,reinhardt_powersax:_2014
77,Prediction of Chiller Power Consumption Using Time Series Analysis and Artificial Neural Networks,"Proceedings of the 8th International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings (CLIMA 2013)","International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings (CLIMA)","Fan, Cheng; Xiao, Fu; Shengwei, Wang",conferencePaper,2013,Building Energy Analysis,Operations,Clustering,K-Means,Controls,Prediction of Chiller Power Consumption Using Time Series Analysis and Artificial Neural Networks,fan_prediction_2013
78,Principal component analysis of electricity use in office buildings,Energy and Buildings,,"Lam, Joseph C; Wan, Kevin K W; Cheung, K L; Yang, Liu",journalArticle,2008,Building Energy Analysis,PortfolioAnalysis,Novelty Detection,Principal Component Analysis (PCA),Characterization,Principal component analysis of electricity use in office buildings,lam_principal_2008
79,Prioritizing and Visualizing Energy Management and Control System Data to Provide Actionable Information For Building Operators,Proceedings from 2011 Western Energy Policy Research Conference,Western Energy Policy Research Conference,"Duarte, Carlos; Acker, Brad; Grosshans, Ray; Manic, Milos; Van Den Wymelenberg, Kevin; Rieger, Craig",conferencePaper,2011,Building Energy Analysis,Operations,Visual Analytics,Energy Information Systems (EIS),Energy Management,Prioritizing and Visualizing Energy Management and Control System Data to Provide Actionable Information For Building Operators,duarte_prioritizing_2011
80,Real-time detection of anomalous power consumption,Renewable and Sustainable Energy Reviews,,"Chou, Jui-Sheng; Telaga, Abdi Suryadinata",journalArticle,2014,Building Energy Analysis,AnomalyDetection,Clustering,K-Means,Whole Building,Real-time detection of anomalous power consumption,chou_real-time_2014
81,Reducing energy consumption by using self-organizing maps to create more personalized electricity use information,Applied Energy,,"Räsänen, Teemu; Ruuskanen, Juhani; Kolehmainen, Mikko",journalArticle,2008,Computer Science,SmartMeter,Clustering,Self-Organizing Maps (SOM),Customer Class.,Reducing energy consumption by using self-organizing maps to create more personalized electricity use information,rasanen_reducing_2008
82,Reducing energy consumption by using self-organizing maps to create more personalized electricity use information,Applied Energy,,"Räsänen, Teemu; Ruuskanen, Juhani; Kolehmainen, Mikko",journalArticle,2008,Computer Science,SmartMeter,Clustering,Self-Organizing Maps (SOM),Classification,Reducing energy consumption by using self-organizing maps to create more personalized electricity use information,rasanen_reducing_2008
83,Research Scoping Report: Visualizing Information in Commercial Buildings,,,"Lehrer, David",report,2009,Building Energy Analysis,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,Research Scoping Report: Visualizing Information in Commercial Buildings,lehrer_research_2009
84,SMAS: A smart meter data analytics system,Proceedings of the 2015 IEEE 31st International Conference on Data Engineering (ICDE),IEEE International Conference on Data Engineering (ICDE),"Liu, Xiufeng; Golab, L.; Ilyas, I.F.",conferencePaper,2015,Computer Science,SmartMeter,Visual Analytics,Pattern Analysis,Customer Class.,SMAS: A smart meter data analytics system,liu_smas:_2015
85,SMAS: A smart meter data analytics system,Proceedings of the 2015 IEEE 31st International Conference on Data Engineering (ICDE),IEEE International Conference on Data Engineering (ICDE),"Liu, Xiufeng; Golab, L.; Ilyas, I.F.",conferencePaper,2015,Computer Science,SmartMeter,Visual Analytics,Pattern Analysis,Classification,SMAS: A smart meter data analytics system,liu_smas:_2015
86,Sensor mining for user behavior profiling in intelligent environments,Advances in Distributed Agent-Based Retrieval Tools,,"Augello, Agnese; Ortolani, Marco; Re, G Lo; Gaglio, Salvatore",journalArticle,2011,Computer Science,Operations,Clustering,Multiple Techniques,Occupancy Detection,Sensor mining for user behavior profiling in intelligent environments,augello_sensor_2011
87,"Sensor-fault detection, diagnosis and estimation for centrifugal chiller systems using principal-component analysis method",Applied Energy,,"Wang, Shengwei; Cui, J",journalArticle,2005,Building Energy Analysis,AnomalyDetection,Novelty Detection,Principal Component Analysis (PCA),Component,"Sensor-fault detection, diagnosis and estimation for centrifugal chiller systems using principal-component analysis method",wang_sensor-fault_2005
88,Site-Level Energy Monitoring and Analysis using Koopman Operator Methods,Proceedings of the 2014 ASHRAE/IBPSA-USA Building Simulation Conference (SimBuild 2014),IBPSA-USA Building Simulation Conference (SimBuild),"Georgescu, M; Mezic, I",conferencePaper,2014,Building Simulation,PortfolioAnalysis,Visual Analytics,Pattern Analysis,Characterization,Site-Level Energy Monitoring and Analysis using Koopman Operator Methods,georgescu_site-level_2014
89,SmartD: Smart Meter Data Analytics Dashboard,Proceedings of the 5th International Conference on Future Energy Systems (e-Energy '14),ACM International Conference on Future Energy Systems (e-Energy),"Jarrah Nezhad, Aylin; Wijaya, Tri Kurniawan; Vasirani, Matteo; Aberer, Karl",conferencePaper,2014,Computer Science,SmartMeter,Visual Analytics,Pattern Analysis,Load Profiling,SmartD: Smart Meter Data Analytics Dashboard,jarrah_nezhad_smartd:_2014
90,Softgreen: Towards energy management of green office buildings with soft sensors,Proceedings of the Fourth International Conference on Communication Systems and Networks (COMSNETS 2012),International Conference on Communication Systems and Networks (COMSNETS),"Thanayankizil, L V; Ghai, S K; Chakraborty, D; Seetharam, D P",conferencePaper,2012,Electrical Engineering,Operations,Motif Detection,Maximum Likelihood (ML),Occupancy Detection,Softgreen: Towards energy management of green office buildings with soft sensors,thanayankizil_softgreen:_2012
91,Statistical Anomaly Detection in Mean and Variation of Energy Consumption,Proceedings of the 22nd International Conference on Pattern Recognition (ICPR),International Conference on Pattern Recognition (ICPR),"Chen, Bei; Sinn, Mathieu; Ploennigs, Joern; Schumann, Anika",conferencePaper,2014,Electrical Engineering,AnomalyDetection,Novelty Detection,Generalized Additive Models (GAM),Whole Building,Statistical Anomaly Detection in Mean and Variation of Energy Consumption,chen_statistical_2014
92,"Strip, bind, and search: a method for identifying abnormal energy consumption in buildings",Proceedings of the 12th ACM/IEEE Int Conference on Information Processing in Sensor Network (ISPN 2013),ACM/IEEE Int Conference on Information Processing in Sensor Network (ISPN),"Fontugne, Romain; Ortiz, Jorge; Tremblay, Nicolas; Borgnat, Pierre; Flandrin, Patrick; Fukuda, Kensuke; Culler, David; Esaki, Hiroshi",conferencePaper,2013,Computer Science,AnomalyDetection,Novelty Detection,Multiple Techniques,Whole Building,"Strip, bind, and search: a method for identifying abnormal energy consumption in buildings",fontugne_strip_2013
93,Support vector clustering of electrical load pattern data,IEEE Transactions on Power Systems,,"Chicco, Gianfranco; Ilie, I S",journalArticle,2009,Electrical Engineering,SmartMeter,Clustering,Support Vector Machines (SVM),Load Profiling,Support vector clustering of electrical load pattern data,chicco_support_2009
94,Sustainable Operation and Management of Data Center Chillers Using Temporal Data Mining,Proceedings of the 15th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD 2009),ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD),"Patnaik, Debprakash; Marwah, Manish; Sharma, Ratnesh; Ramakrishnan, Naren",conferencePaper,2009,Computer Science,Operations,Motif Detection,Symbolic Aggregate Approximation (SAX),Controls,Sustainable Operation and Management of Data Center Chillers Using Temporal Data Mining,patnaik_sustainable_2009
95,Targeted Efficiency: Using Customer Meter Data to Improve Efficiency Program Outcomes,,,"Borgeson, Sam",thesis,2013,Building Energy Analysis,SmartMeter,Clustering,Multiple Techniques,Customer Class.,Targeted Efficiency: Using Customer Meter Data to Improve Efficiency Program Outcomes,borgeson_targeted_2013
96,Targeted Efficiency: Using Customer Meter Data to Improve Efficiency Program Outcomes,,,"Borgeson, Sam",thesis,2013,Building Energy Analysis,SmartMeter,Clustering,Multiple Techniques,Classification,Targeted Efficiency: Using Customer Meter Data to Improve Efficiency Program Outcomes,borgeson_targeted_2013
97,Temporal Knowledge Discovery in Big BAS Data for Building Energy Management,Energy and Buildings,,"Fan, Cheng; Xiao, Fu; Madsen, Henrik; Wang, Dan",journalArticle,2015,Building Energy Analysis,Operations,Rule Extraction,Data Assocation Rules (DAR),Energy Management,Temporal Knowledge Discovery in Big BAS Data for Building Energy Management,fan_temporal_2015
98,The energy dashboard: improving the visibility of energy consumption at a campus-wide scale,Proceedings of the First ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2009),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),"Agarwal, Yuvraj; Weng, Thomas; Gupta, Rajesh K.",conferencePaper,2009,Computer Science,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,The energy dashboard: improving the visibility of energy consumption at a campus-wide scale,agarwal_energy_2009
99,Towards Automatic Spatial Verification of Sensor Placement in Buildings,Proceedings of the 5th ACM Workshop on Embedded Systems For Energy-Efficient Buildings (BuildSys 2013),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),"Hong, Dezhi; Ortiz, Jorge; Whitehouse, Kamin; Culler, David",conferencePaper,2013,Computer Science,Operations,Clustering,Empirical Mode Decomposition (EMC),Controls,Towards Automatic Spatial Verification of Sensor Placement in Buildings,hong_towards_2013
100,Towards an understanding of campus-scale power consumption,Proceedings of the Third ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2011),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),"Bellala, Gowtham; Marwah, Manish; Arlitt, Martin; Lyon, Geoff; Bash, Cullen E",conferencePaper,2011,Computer Science,PortfolioAnalysis,Novelty Detection,Markov Models,Targeting,Towards an understanding of campus-scale power consumption,bellala_towards_2011
101,Typical load profiles in the smart grid context—A clustering methods comparison,"Proceedings of the Power and Energy Society General Meeting, 2012 IEEE",IEEE Power and Energy Society General Meeting,"Ramos, Sérgio; Duarte, JMM; Soares, João; Vale, Zita; Duarte, Fernando J",conferencePaper,2012,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Load Profiling,,
102,Using intelligent clustering techniques to classify the energy performance of school buildings,Energy and Buildings,,"Santamouris, M; Mihalakakou, G; Patargias, P; Gaitani, N; Sfakianaki, K; Papaglastra, M; Pavlou, C; Doukas, P; Primikiri, E; Geros, V; Assimakopoulos, M N; Mitoula, R; Zerefos, S",journalArticle,2007,Building Energy Analysis,PortfolioAnalysis,Clustering,Fuzzy Clustering,,Using intelligent clustering techniques to classify the energy performance of school buildings,santamouris_using_2007
103,Using intelligent data analysis to detect abnormal energy consumption in buildings,Energy and Buildings,,"Seem, John E",journalArticle,2006,Building Energy Analysis,AnomalyDetection,Novelty Detection,Generalized Extreme Studentized Deviate (GESD),Whole Building,Using intelligent data analysis to detect abnormal energy consumption in buildings,seem_using_2006
104,Using principal component and cluster analysis in the heating evaluation of the school building sector,Applied Energy,,"Gaitani, N; Lehmann, C; Santamouris, M; Mihalakakou, G; Patargias, P",journalArticle,2010,Building Energy Analysis,PortfolioAnalysis,Clustering,Multiple Techniques,Targeting,Using principal component and cluster analysis in the heating evaluation of the school building sector,gaitani_using_2010
105,Variability of electricity load patterns and its effect on demand response: A critical peak pricing experiment on Korean commercial and industrial customers,Energy Policy,,"Jang, Dongsik; Eom, Jiyong; Jae Park, Min; Jeung Rho, Jae",journalArticle,2016,Building Energy Analysis,SmartMeter,Clustering,K-Means,Classification,Variability of electricity load patterns and its effect on demand response: A critical peak pricing experiment on Korean commercial and industrial customers,jang_variability_2016
106,Variability of electricity load patterns and its effect on demand response: A critical peak pricing experiment on Korean commercial and industrial customers,Energy Policy,,"Jang, Dongsik; Eom, Jiyong; Jae Park, Min; Jeung Rho, Jae",journalArticle,2016,Building Energy Analysis,SmartMeter,Clustering,K-Means,Customer Class.,Variability of electricity load patterns and its effect on demand response: A critical peak pricing experiment on Korean commercial and industrial customers,jang_variability_2016
107,"Visualizing Energy Information in Commercial Buildings: A Study of Tools, Expert Users, and Building Occupants",,,"Lehrer, David; Vasudev, Janani",report,2011,Building Energy Analysis,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,"Visualizing Energy Information in Commercial Buildings: A Study of Tools, Expert Users, and Building Occupants",lehrer_visualizing_2011
108,Visualizing building energy demand for building peak energy analysis,Energy and Buildings,,"Yarbrough, I.; Sun, Q.; Reeves, D. C.; Hackman, K.; Bennett, R.; Henshel, D. S.",journalArticle,2015,Building Energy Analysis,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,Visualizing building energy demand for building peak energy analysis,yarbrough_visualizing_2015
109,Visualizing frequent patterns in large multivariate time series,Proceedings of SPIE Conference on Visualization and Data Analysis 2011,SPIE Conference on Visualization and Data Analysis,"Hao, M.; Marwah, M.; Janetzko, H.; Sharma, R.; Keim, D. A.; Dayal, U.; Patnaik, D.; Ramakrishnan, N.",conferencePaper,2011,Computer Science,Operations,Visual Analytics,Pattern Analysis,Controls,Visualizing frequent patterns in large multivariate time series,hao_visualizing_2011
110,Wakame: Sense Making of Multi-dimensional Spatial-temporal Data,Proceedings of the International Conference on Advanced Visual Interfaces (AVI 2010),International Conference on Advanced Visual Interfaces (AVI),"Forlines, Clifton; Wittenburg, Kent",conferencePaper,2010,Computer Science,AnomalyDetection,Visual Analytics,Pattern Analysis,Subsystem,Wakame: Sense Making of Multi-dimensional Spatial-temporal Data,forlines_wakame:_2010
111,"e2-Diagnoser: A System for Monitoring, Forecasting and Diagnosing Energy Usage","Data Mining Workshop (ICDMW), 2014 IEEE International Conference on",IEEE International Conference on Data Mining Workshop (ICDMW),"Ploennigs, Joern; Chen, Bei; Palmes, Paulito; Lloyd, Raymond",conferencePaper,2014,Electrical Engineering,PortfolioAnalysis,Novelty Detection,Generalized Additive Models (GAM),,"e2-Diagnoser: A System for Monitoring, Forecasting and Diagnosing Energy Usage",ploennigs_e2-diagnoser:_2014
